Nyugalom dala,bárd,Dalmágia,1/célpont,5,1 kör,a dal hossza,10 láb sugarú kör,Asztrális,,,,,,,"A bárd énekének hatására minden olyan lény, amely 10 láb sugarú körön belül tartózkodik, hallja a dalt, Mágiaellenállása pedig sikertelen, elveszti harci kedvét, megnyugszik. Ha ebben az állapotban megtámadják, újra fegyveréhez kap, s harcolni kezd. Ekkor már nem nyugtatható meg a dallal, sőt, az énekesre fog támadni, ha teheti. A bárdok ezzel a varázslattal igen óvatosan bánnak, hisz a hatás könnyen ellenük fordítható. A varázslat erőssége 4 E-nként 1 Mana-pont felhasználásával növelhető, Időtartama a bárd dalának ideje, illetve utána még 1k6 kör."
Álom dala,bárd,Dalmágia,12/célpont,6,3 kör,lásd a leírásban,10 láb sugarú kör,Mentális,,,,,,,"Ennek az éneknek a hatására a bárd körül 10 lábnyi körzetben tartózkodó lények, ha Mágiaellenállásuk sikertelen, mély álomba merülnek. Az igazi alváshoz a bárd énekét legalább három körig kell hallaniuk, a hatás csak utána jelentkezik. Ekkor a dalt halló lények elalszanak, s 15 körön át fel sem ébreszthetők, csak mágia segítségével. Utána az alvás természetessé, az áldozatcsoport közönséges módon fel-rázhatóvá, fellocsolhatóvá válik. A varázslat erősítése 1 E-n-ként 1 Mp-t igényel."
Bájolás dala,bárd,Dalmágia,5/lény,6,1 perc,2 óra,10 láb sugarú kör,Asztrális,,,,,,,"A dal segítségével a bárd 10 lábnyi körzeten belül minden hallgatóját barátjává teheti. Ha a hallgatók Mágiaellenállása sikertelen volt, követni, s lehetőségük szerint segíteni fogják a bárdot. Ha a bárd - fegyverrel vagy mágiával - megtámadja őket, a varázslat hatása semmivé foszlik. Az elbájolt lények mindig igazat fognak válaszolni a bárd kérdéseire, s egy esetleges harmadik féllel vívott harcban is a védelmére kelnek.
A varázslat hatóideje 2 óra, az erősítés pedig 1 E-nként 2 Mana-pont segítségével történhet.
"
Bátorság dala,bárd,Dalmágia,7,5,1 kör,a dal hossza,lásd a leírásban,-,,,,,,,"A bárd ezzel a varázslattal társainak harci kedvét növelheti. A varázslat 10 É-je 15-tel nő, aki a varázslás pillanatában a dalt hallotta, és a Hatótávon belül tartózkodott. A varázslat másik alkalmazási módja esetén a Hatótáv 100 láb sugarú kör, melynek területén a dal szinte végigsöpör. Ez a bárddal szövetséges harcosoknak csak a harci kedvét, lelkesedését növeli, s Bátorságukhoz (NJK karakterek esetében) 3-at ad. Ideális varázslat csaták során. A Távolság dalával kombinálva különösen ütőképessé válhat."
Bénítás dala,bárd,Dalmágia,8/célpont,7,2 + k6 kör,K6 kör,10 láb sugarú kör,Asztrális,,,,,,,"A bárd dalának hatására minden 10 lábnyi körzetben tartózkodó lény gondolatainak középpontjába a mágikus zene kerül, s ettől teljesen mozdulatlanná válnak. Ehhez a dalt legalább két körig kell hallaniuk, s utána Mágiaellenállást dobniuk - sikertelenség esetén 1k6 körig csak a bárd zenéjére figyelnek, s érzéketlenek lesznek minden más jelenség, benyomás iránt. Az így elbájolt áldozatok csak a mágia megszűntével nyerik vissza uralmukat gondolataik felett, vagy abban az esetben, ha egy körben több, mint 15 Sp-t sebeznek rajtuk. A dal erősítése 1 E-nként 1 Mana-pontot igényel."
Ellentétek dala,bárd,Dalmágia,35,25,1 perc,Végleges,10 láb sugarú kör,Mentális,,,,,,,"Az egyik legerősebb érzelmekre ható dal, mellyel a bárd rendelkezik. Minden érzelmet a visszájára fordíthat az áldozatban, ha annak Mágiaellenállása sikertelen volt. Az eddigi szeretetből gyűlölet lesz, a félelemből bátorság, a barátságból ellenszenv és megfordítva. Az áldozat 25%-ban beleőrül a hirtelen változásba, s ha nem, akkor is nehéz lesz új önmagán kiigazodnia. Minden érzelme az ellentétére változott, de a semlegesek vagy közel semlegesek nem alakultak át. Egy társat tehát, akihez különösen erős indulatok, érzelmek nem fűzték, most sem fog szeretni vagy gyűlölni. A varázslat a leghétköznapibb érzelmekre is hat, ennek következményei a legkevésbé megfoghatók. Például az a keleti barbár harcos, aki eddig egy vagyont fizetett volna a vaddisznópörcért, most viszolyogva fogja a kocsmáros ölébe borítani azt. A varázslat 4 Mana-ponttal erősíthető 1 E-nként, csak egy célpontra alkalmazható, hatása pedig végleges. Megjegyzendő, hogy ha az áldozatra egy másik vagy esetleg ugyanaz a bárd ezt a varázslatot még egyszer ráénekli, a célpont érzelmei eredeti állapotukba rendeződnek vissza."
Emlékek dala,bárd,Dalmágia,25,12,3 perc,Végleges,10 láb sugarú kör,Mentális,,,,,,,"A dal segítségével lehetségessé válik emlékek, élmények síhelyezése az áldozat elméjében. A varázslattal maximálisan egy napi emlék írható be a memóriába, de ehhez üres helyre van szükség. Ez lehet természetes felejtés, de előidézhető a fentebb leírt Feledés dalával is. így egy nap teljesen átírhatóvá válik valaki emlékezetében. Ha nincs ennyi kiesett emlék, egy-egy napba legfeljebb plusz 15 perc illeszthető be a varázslattal. A varázslat maximális hatótávolsága 10 láb, erősítése pedig 1 E-nként 3 Mana-pont segítségével történhet."
Feledés dala,bárd,Dalmágia,20,12,3 perc,egyszeri,10 láb sugarú kör,Mentális,,,,,,,"A dal segítségével a bárd egyetlen nap emlékeit törölheti ki áldozatából. Csak a nap dátumára kell koncentrálnia a varázslat alatt, a tartalmát nem szükséges ismernie. Az emlékek, ha a Mágiaellenállás sikertelen, teljesen elvesznek, s a nap üres foltként marad meg az áldozat emlékezetében. Tudni fogja, hogy a nap létezett, de ennél többet nem. Emlékei nem adhatók vissza, de társai elmagyarázhatják neki, mi is történt akkor. Hogy ezt elhiszi-e vagy sem, egészen más kérdés. A varázslat Hatótávolsága 10 láb, erősítése 1 E-nként 2 Mana-pontot igényel."
Félelem dala,bárd,Dalmágia,4/lény,6,1 perc,a dal hossza,10 láb sugarú kör,"Asztrális
",,,,,,,"A dal félelmet ébreszt a bárd ellenségeinek szívében. A bárd szövetségeseire a varázslat nem hat, így ők a dal alatt is a bárd közelében maradhatnak. Az ellenfelek, akik hallják a dalt, Mágiaellenállás dobásra jogosultak, és ha elvétik, azonnal menekülni kezdenek az ének forrásától. A varázslat addig tart, míg a bárd énekel, erősíteni pedig 3 E-nként 1 Mana-pontért lehet."
Halál dala,bárd,Dalmágia,45/lény,15,1 kör,Végleges,10 láb sugarú kör,"Asztrális
",,,,,,,"”A bárd legkegyetlenebb fegyvere a lant” - szól a mondás Ynev-szerte. A Halál dala valóban pusztulást hozhat minden lényre, aki hallja. Ha a Mágiaellenállás sikertelen, az áldozat Asztráltestét megsemmisítő csapás éri, s a lélek szétszakadásának sokkja halált okoz. A célpontnak a bárd 10 lábnyi körzetében kell tartózkodnia, s hallania is kell a dalt. A varázs-lat 1 E-nként 4 Mana-pont befektetésével erősíthető."
Kínok dala,bárd,Dalmágia,4/kör,25,1 kör,a dal hossza,hallótávolság,Mentális,,,,,,,"A bárd ezen varázslattal fájdalmat okozhat mindazoknak, akik a dalt hallják. A fájdalom borzalmas, hasogató fejfájásként jelentkezik, majd kínhullámként seper végig az egész testen. A célpont Mágiaellenállásra jogosult a varázslat ellen. Amennyiben az ME dobás sikertelen, az áldozat 1k6 Sp-t veszít körönként. A dal annyi ideig tartható fenn, míg a bárd kívánja, s Mana-pontjai ezt lehetővé teszik. A hatósugár mindig a hallótávolsággal egyezik meg."
